Category	Path	group
Low	/Path/To/Your/Data/Methylation/RNA-MRC-iPS-23_P22.txt	1
Low	/Path/To/Your/Data/Methylation/RNA-DFM1-iPS_P33.txt	2
Low	/Path/To/Your/Data/Methylation/RNA-DFM2-iPS-5_P21.txt	3
Low	/Path/To/Your/Data/Methylation/RNA-DFMF1-iPS-7.txt	4
Low	/Path/To/Your/Data/Methylation/RNA-DFMF1-iPS-3_P28.txt	5
Low	/Path/To/Your/Data/Methylation/RNA-IMR-iPS-6_P30.txt	6
High	/Path/To/Your/Data/Methylation/RNA-IMR-iPS-18_P26.txt	7
High	/Path/To/Your/Data/Methylation/RNA-DFMF1-iPS-6_P31.txt	8
High	/Path/To/Your/Data/Methylation/RNA-DFM2-iPS-4_P24.txt	9
High	/Path/To/Your/Data/Methylation/RNA-DFMF1-iPS-11.txt	10
High	/Path/To/Your/Data/Methylation/RNA-MRC-iPS-6_P21.txt	11
High	/Path/To/Your/Data/Methylation/RNA-MRC-iPS-5_P28.txt	12
